date	Paris	Londres	Moscow	Madrid	Casablanca	Abidjan	Dakar	New York	Los Angles	Toronto	Istanbul	Shanghai	Tokyo	Melbourne	Vide
1913-01-01	4.748	4.032	-9.217	4.354	10.57	27.551	21.345	2.011000000000001	7.178000000000001	-4.073	3.998	3.998	-0.11900000000000001	17.548	
1913-02-01	4.422	4.585	-9.964	4.235	11.368	27.949	21.595	-3.157	8.907	-9.604	2.927	2.927	2.101	19.234	
1913-03-01	8.104	6.569000000000001	-1.1029999999999998	7.346	13.385	27.822	21.125999999999998	5.606999999999998	10.669	-2.373	8.573	8.573	4.012	15.405	
1913-04-01	9.29	7.784	8.66	8.422	14.398	27.500999999999998	21.555	9.991	13.172	5.9590000000000005	11.061	11.061	11.970999999999998	14.597	
1913-05-01	13.49	12.075	9.099	13.402999999999999	18.226	25.832	21.989	14.470999999999998	16.067999999999998	10.817	14.586	14.586	14.415	10.065	
1913-06-01	15.887	14.658	13.963	19.758	23.116999999999997	25.368000000000002	25.753	19.85	18.69	16.811	18.917	18.917	19.108	8.344999999999999	
1913-07-01	16.18	14.878000000000002	17.630000000000006	21.421	25.146	25.584	27.195	22.471	22.76	19.153	21.526	21.526	22.534	8.4	
1913-08-01	17.178	15.689000000000002	18.227999999999998	20.267000000000003	24.717	25.177	27.776999999999997	21.185	23.866000000000003	18.755	21.499000000000002	21.499000000000002	22.943	8.704	
1913-09-01	15.134	14.472000000000001	11.47	15.362	21.658	24.835	27.795	16.506999999999998	22.248	14.027999999999999	19.686	19.686	18.658	10.474	
1913-10-01	11.985999999999999	11.077	2.29	11.225999999999999	18.44	25.543000000000003	27.605	12.961	17.447000000000006	8.921000000000003	14.577	14.577	13.86	12.931	
1913-11-01	9.121	8.253	1.632	7.8020000000000005	14.837	26.178	26.7	6.175	12.794	3.531	10.854	10.854	7.794	13.469	
1913-12-01	3.615	4.6080000000000005	-4.796	2.7230000000000003	10.387	26.569000000000003	24.098000000000003	1.1	8.591000000000001	-1.8150000000000004	7.132999999999999	7.132999999999999	3.385	18.238	
1914-01-01	-0.17600000000000016	2.75	-10.054	0.879	8.218	26.752	21.175	-2.846	9.549	-6.5280000000000005	4.257	4.257	2.367	18.383	
1914-02-01	6.348	6.568999999999999	-1.866	5.215	10.462	28.123	20.49	-6.206	10.737	-12.220999999999998	6.537999999999999	6.537999999999999	1.9040000000000001	20.713	
1914-03-01	7.5360000000000005	6.2780000000000005	-1.4169999999999994	7.4540000000000015	13.033	28.123	21.156	0.5640000000000001	13.864999999999998	-3.5039999999999996	9.479	9.479	7.195	18.845	
1914-04-01	11.606000000000002	9.575	3.338	10.517000000000001	15.175	28.048	20.765	7.525	14.271	3.5550000000000006	10.418	10.418	9.727	13.777999999999999	
1914-05-01	12.417000000000002	11.035	13.029000000000002	13.103	18.582	26.856	23.49	16.211000000000002	15.9	13.158	15.605999999999998	15.605999999999998	16.182000000000002	11.086	
1914-06-01	15.622	14.737	16.512999999999998	15.899	20.605	24.831	27.205	19.075	19.322	16.172	19.049	19.049	20.417	8.745999999999999	
1914-07-01	17.875999999999994	16.76	19.62	20.23	24.927	24.002	28.391	21.145	21.988000000000003	19.474	22.218000000000004	22.218000000000004	24.515	7.263999999999999	
1914-08-01	18.588	16.869	13.73	20.959000000000003	25.413	24.000999999999998	27.785	21.668000000000003	22.516	18.357	21.718000000000004	21.718000000000004	25.203000000000007	9.556	
1914-09-01	14.909	13.754000000000001	9.133	18.512	23.2	25.283	28.059	16.641	19.912	14.398	17.628999999999994	17.628999999999994	21.369000000000003	10.536	
1914-10-01	10.173	10.308	1.6310000000000002	11.819	18.295	25.697	28.160999999999998	12.847000000000001	17.186	9.925	13.207	13.207	13.915999999999999	15.279000000000002	
1914-11-01	5.874	6.563	-4.624	5.7189999999999985	13.494000000000002	26.737	25.478	4.256	14.748	0.5910000000000002	8.558	8.558	10.397	17.377	
1914-12-01	5.575	4.561	-4.1739999999999995	3.8310000000000004	9.901	26.873	23.208000000000002	-2.603	7.77	-6.285	7.724	7.724	3.984	17.989	
1915-01-01	3.36	3.716	-6.496	2.63	8.584999999999999	25.85	22.429000000000002	-1.372	8.715	-7.995	9.29	9.29	1.214	18.505	
1915-02-01	4.2139999999999995	4.107	-6.222999999999999	3.583	10.867	27.045	20.689	0.2349999999999999	9.475	-5.825	7.011	7.011	2.254	19.427000000000003	
1915-03-01	5.504	5.085000000000001	-7.247000000000001	7.178	13.665999999999999	28.003	20.564	0.8849999999999998	12.939	-3.966	7.69	7.69	4.526	16.381999999999998	
1915-04-01	8.63	7.528	4.143	8.05	14.124	27.775	21.305	11.45	13.693	8.071000000000002	11.28	11.28	10.076	13.458	
1915-05-01	14.581	11.31	10.825	13.993	18.524	27.278000000000002	23.206999999999997	13.124	15.085	9.595	14.470999999999998	14.470999999999998	14.525999999999998	10.143	
1915-06-01	17.656	14.859000000000002	14.050999999999998	17.365000000000002	22.301	25.646	27.217	18.682000000000002	20.125	15.321	19.752	19.752	21.103	8.734	
1915-07-01	17.319000000000003	15.446000000000002	18.567999999999998	21.603	26.08	24.649	28.346999999999998	21.609	22.78	18.279	23.046	23.046	23.700000000000006	8.962	
1915-08-01	17.462	15.889	14.322000000000001	22.065	26.392000000000003	25.203000000000003	28.18	20.102999999999998	24.180999999999997	16.873	21.844	21.844	24.686	9.145	
1915-09-01	14.45	13.521999999999998	10.58	16.934	22.205	24.991	28.545	19.081	20.009	15.618	18.328	18.328	21.508000000000006	10.888	
1915-10-01	8.865	8.849	2.1990000000000003	10.71	17.270999999999994	26.186	27.471999999999998	11.619000000000002	17.183	8.874	15.374	15.374	15.834000000000001	11.625	
1915-11-01	3.632	3.3060000000000005	-2.5839999999999996	6.4209999999999985	14.058	26.337	25.474	4.9910000000000005	11.937999999999999	2.492	10.577	10.577	9.561	13.58	
1915-12-01	6.824	5.25	-9.958	5.292999999999999	10.367	26.484	24.633000000000003	-2.156	9.067	-5.388	9.307	9.307	3.88	16.685	
1916-01-01	6.504	6.837999999999999	-6.271000000000001	3.924	9.2	26.669	21.924	-0.43000000000000016	6.825	-4.119999999999999	5.702000000000001	5.702000000000001	3.1500000000000004	19.111	
1916-02-01	4.145	3.68	-5.236999999999999	3.825	10.460999999999999	27.791	20.941999999999997	-4.44	11.369000000000002	-9.753	6.624	6.624	2.479	18.822000000000006	
1916-03-01	5.848	3.786000000000001	-4.7330000000000005	4.652	11.911	28.281	20.361	-1.91	13.229000000000001	-6.832000000000001	9.76	9.76	3.858	16.563	
1916-04-01	9.639	8.38	5.449	9.355	14.460999999999999	26.901	20.647	7.86	14.523	5.129	11.675999999999998	11.675999999999998	11.017000000000001	12.913	
1916-05-01	14.242	12.114	9.654	13.822000000000001	17.881	27.02	22.430999999999997	15.089	15.476	10.937000000000001	16.567999999999998	16.567999999999998	15.812000000000001	10.473999999999998	
1916-06-01	13.691	11.997	15.087	17.225	22.002	25.552	25.634	17.155	18.794	14.725	21.732	21.732	21.956999999999997	8.113	
1916-07-01	17.244	15.543	17.585	20.516	24.754	24.451	27.396	22.861	22.144000000000002	22.524	23.445	23.445	23.200000000000006	7.787000000000001	
1916-08-01	18.301	16.892	13.909	21.465	25.299000000000003	24.115	27.835	21.945	21.934	20.122	21.805	21.805	24.588	8.24	
