country,temperature
AFG,1.1048258406808742
AGO,7.074825840680873
ALB,-0.43517415931912673
ARE,11.404825840680871
ARG,-0.9751741593191277
ARM,-4.085174159319127
ATA,-30.425174159319127
ATF,-10.425174159319127
AUS,6.714825840680874
AUT,-7.375174159319126
AZE,-1.255174159319127
BDI,4.844825840680873
BEL,-5.3651741593191264
BEN,12.034825840680874
BFA,12.754825840680873
BGD,10.534825840680874
BGR,-2.015174159319127
BHS,10.584825840680875
BIH,-2.6151741593191264
BLR,-9.135174159319128
BLZ,10.784825840680874
BOL,5.5548258406808735
BRA,9.914825840680873
BRN,10.504825840680873
BTN,-6.845174159319127
BWA,6.0548258406808735
CAF,9.414825840680873
CAN,-17.065174159319128
CHE,-10.675174159319127
CHL,-6.135174159319128
CHN,11.584825840680875
CIV,12.824825840680873
CMR,9.104825840680874
COD,8.614825840680872
COG,9.094825840680873
COL,11.114825840680872
COM,9.704825840680872
CRI,10.824825840680873
CUB,12.694825840680874
CYP,-6.145174159319128
CZE,-3
DEU,-6.1951741593191265
DJI,12.214825840680874
DNK,-6.915174159319127
DOM,8.504825840680873
DZA,7.154825840680871
ECU,5.904825840680871
EGY,9.074825840680873
ERI,13.074825840680873
ESH,7.964825840680874
ESP,-0.5751741593191273
EST,-10.395174159319126
ETH,9.204825840680872
FIN,-11.365174159319128
FJI,7.944825840680874
FLK,-9.635174159319128
FRA,-1.8451741593191269
GAB,9.574825840680873
GBR,-7.1151741593191264
GEO,-8.065174159319128
GHA,12.284825840680874
GIN,10.124825840680874
GLP,9.594825840680873
GMB,11.344825840680873
GNB,11.184825840680872
GNQ,8.704825840680872
GRC,1.7248258406808716
GRL,-19.825174159319126
GTM,8.864825840680872
GUF,10.194825840680874
GUY,11.254825840680873
HND,10.304825840680873
HRV,-4.955174159319126
HTI,11.604825840680874
HUN,-3.1251741593191262
IDN,11.034825840680874
IND,9.984825840680873
IRL,-5.455174159319126
IRN,5.114825840680872
IRQ,8.814825840680871
ISL,-14.075174159319127
ISR,4.274825840680872
ITA,-1.2651741593191268
JAM,11.694825840680874
JOR,2.9248258406808745
JPN,-2.465174159319126
KAZ,-6.495174159319127
KEN,9.504825840680873
KGZ,-9.165174159319127
KHM,11.514825840680874
KOR,-1.6651741593191272
KOS,-5.575174159319127
KSV,-7.005174159319127
KWT,9.724825840680872
LAO,9.954825840680872
LBN,3.7448258406808748
LBR,10.884825840680872
LBY,8.884825840680872
LKA,11.334825840680875
LSO,-3.4551741593191263
LTU,-7.625174159319127
LUX,-5.525174159319127
LVA,-9.795174159319128
MAR,3.5698236548422
MDA,-2.165174159319127
MDG,7.524825840680872
MEX,6.784825840680874
MKD,-5.575174159319127
MLI,14.514825840680874
MMR,7.534825840680874
MNE,-7.515174159319127
MNG,-15.925174159319127
MOZ,8.264825840680874
MRT,12.264825840680874
MUS,7.704825840680872
MWI,6.5548258406808735
MYS,9.714825840680874
NAM,5.834825840680875
NCL,6.534825840680874
NER,13.804825840680873
NGA,12.574825840680873
NIC,9.164825840680873
NLD,-6.225174159319128
NOR,-13.695174159319127
NPL,-2.6851741593191267
NZL,-4.345174159319127
OMN,10.024825840680872
PAK,6.894825840680873
PAN,11.784825840680874
PER,4.034825840680874
PHL,11.984825840680873
PNG,9.624825840680874
POL,-6.175174159319127
PRI,8.854825840680874
PRK,-10.565174159319128
PRT,-0.4551741593191263
PRY,8.054825840680873
PSE,2.574825840680873
QAT,13.144825840680873
REU,8.834825840680875
ROU,-3.7851741593191264
RUS,-17.685174159319125
RWA,4.6748258406808745
SAU,9.224825840680872
SDN,11.394825840680873
SDS,12.974825840680872
SEN,13.874825840680874
SJM,-24.565174159319128
SLB,10.254825840680873
SLE,10.614825840680872
SLV,9.344825840680873
SOM,12.544825840680872
SRB,-2.585174159319127
SSD,11.504825840680873
SUR,10.344825840680873
SVK,-8.155174159319127
SVN,-7.385174159319128
SWE,-11.235174159319126
SWZ,4.984825840680873
SYR,2.2248258406808716
TCD,11.224825840680872
TGO,11.374825840680874
THA,10.824825840680873
TJK,-12.395174159319128
TKM,-0.2051741593191263
TLS,9.544825840680872
TTO,10.434825840680872
TUN,3.9348258406808725
TUR,-1.4051741593191274
TWN,7.584825840680875
TZA,6.884825840680872
UGA,8.594825840680873
UKR,-4.515174159319127
URY,2.1448258406808733
USA,-4.135174159319128
UZB,-2.9051741593191274
VCT,11.394825840680873
VEN,9.894825840680873
VIR,10.314825840680871
VNM,8.644825840680873
VUT,8.414825840680873
YEM,12.694825840680874
ZAF,2.1748258406808745
ZMB,6.154825840680871
ZWE,5.604825840680874
