country,temperature
AFG,16.53
AGO,22.50
ALB,14.99
ARE,26.83
ARG,14.45
ARM,11.34
ATA,-15
ATF,5
AUS,22.14
AUT,8.05
AZE,14.17
BDI,20.27
BEL,10.06
BEN,27.46
BFA,28.18
BGD,25.96
BGR,13.41
BHS,26.01
BIH,12.81
BLR,6.29
BLZ,26.21
BOL,20.98
BRA,25.34
BRN,25.93
BTN,20.58
BWA,21.48
CAF,24.84
CAN,-1.64
CHE,4.75
CHL,9.29
CHN,27.01
CIV,28.25
CMR,24.53
COD,24.04
COG,24.52
COL,26.54
COM,25.13
CRI,26.25
CUB,28.12
CYP,9.28
CZE,7.06
DEU,9.23
DJI,27.64
DNK,8.51
DOM,23.93
DZA,22.58
ECU,21.33
EGY,24.50
ERI,28.50
ESH,23.39
ESP,14.85
EST,5.03
ETH,24.63
FIN,4.06
FJI,23.37
FLK,5.79
FRA,13.58
GAB,25.00
GBR,8.31
GEO,7.36
GHA,27.71
GIN,25.55
GLP,25.02
GMB,26.77
GNB,26.61
GNQ,24.13
GRC,17.15
GRL,-4.4
GTM,24.29
GUF,25.62
GUY,26.68
HND,25.73
HRV,10.47
HTI,27.03
HUN,12.30
IDN,26.46
IND,25.41
IRL,9.97
IRN,20.54
IRQ,24.24
ISL,1.35
ISR,19.70
ITA,14.16
JAM,27.12
JOR,18.35
JPN,12.96
KAZ,8.93
KEN,24.93
KGZ,6.26
KHM,26.94
KOR,13.76
KOS,9.85
KSV,8.42
KWT,25.15
LAO,25.38
LBN,19.17
LBR,26.31
LBY,24.31
LKA,26.76
LSO,11.97
LTU,7.80
LUX,9.90
LVA,5.63
MAR,19.30
MDA,13.26
MDG,22.95
MEX,22.21
MKD,9.85
MLI,29.94
MMR,22.96
MNE,7.91
MNG,-0.50
MOZ,23.69
MRT,27.69
MUS,23.13
MWI,21.98
MYS,25.14
NAM,21.26
NCL,21.96
NER,29.23
NGA,28.00
NIC,24.59
NLD,9.20
NOR,1.73
NPL,25.74
NZL,11.08
OMN,25.45
PAK,22.32
PAN,27.21
PER,19.46
PHL,27.41
PNG,25.05
POL,9.25
PRI,24.28
PRK,4.86
PRT,14.97
PRY,23.48
PSE,18
QAT,28.57
REU,24.26
ROU,11.64
RUS,-2.26
RWA,20.10
SAU,24.65
SDN,26.82
SDS,28.4
SEN,29.30
SJM,-9.14
SLB,25.68
SLE,26.04
SLV,24.77
SOM,27.97
SRB,12.84
SSD,26.93
SUR,25.77
SVK,7.27
SVN,8.04
SWE,4.19
SWZ,20.41
SYR,17.65
TCD,26.65
TGO,26.80
THA,26.25
TJK,3.03
TKM,15.22
TLS,24.97
TTO,25.86
TUN,19.36
TUR,14.02
TWN,23.01
TZA,22.31
UGA,24.02
UKR,10.91
URY,17.57
USA,11.29
UZB,12.52
VCT,26.82
VEN,25.32
VIR,25.74
VNM,24.07
VUT,23.84
YEM,28.12
ZAF,17.60
ZMB,21.58
ZWE,21.03
